attack_army_id	defense_army_id	median_fraction_ipc_winner	min_fraction_ipc_winner	max_fraction_ipc_winner	percentile_25	percentile_75	iqr_fraction_ipc_winner	mod_t_fraction_ipc_winner	abs_mod_t_fraction_ipc_winner
0	30	-0.8	-1.0	1.0	-0.9	-0.6	0.30000000000000004	-2.6666666666666665	2.6666666666666665
0	32	-0.8	-1.0	0.3333333333333333	-0.9	-0.6	0.30000000000000004	-2.6666666666666665	2.6666666666666665
2	32	-0.8	-1.0	0.7857142857142857	-0.9	-0.6	0.30000000000000004	-2.6666666666666665	2.6666666666666665
6	32	-0.8	-1.0	0.8571428571428571	-0.9	-0.6	0.30000000000000004	-2.6666666666666665	2.6666666666666665
29	32	-0.8	-1.0	0.8928571428571429	-0.9	-0.6	0.30000000000000004	-2.6666666666666665	2.6666666666666665
11	36	-0.8	-1.0	1.0	-0.8	-0.5333333333333333	0.2666666666666667	-2.9999999999999996	2.9999999999999996
21	36	-0.8	-1.0	0.896551724137931	-0.8	-0.5333333333333333	0.2666666666666667	-2.9999999999999996	2.9999999999999996
0	33	-0.8	-1.0	0.6666666666666666	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
0	36	-0.8	-1.0	0.6666666666666666	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
0	37	-0.8	-1.0	1.0	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
0	39	-0.8	-1.0	0.3333333333333333	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
0	41	-0.8	-1.0	0.6666666666666666	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
2	33	-0.8	-1.0	1.0	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
2	36	-0.8	-1.0	0.4285714285714285	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
2	39	-0.8	-1.0	0.7857142857142857	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
2	41	-0.8	-1.0	0.4285714285714285	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
6	33	-0.8	-1.0	0.8571428571428571	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
6	36	-0.8	-1.0	0.8571428571428571	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
6	39	-0.8	-1.0	1.0	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
6	41	-0.8	-1.0	0.4285714285714285	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
11	39	-0.8	-1.0	1.0	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
21	39	-0.8	-1.0	0.896551724137931	-0.9	-0.6666666666666666	0.2333333333333334	-3.428571428571428	3.428571428571428
0	47	-0.8	-1.0	1.0	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
0	52	-0.8	-1.0	0.3333333333333333	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
0	53	-0.8	-1.0	-0.3333333333333333	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
0	57	-0.8	-1.0	1.0	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
1	32	-0.8	-1.0	1.0	-0.8	-0.6	0.20000000000000007	-3.999999999999999	3.999999999999999
1	59	-0.8	-1.0	0.4	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
1	61	-0.8	-1.0	0.4	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
1	63	-0.8	-1.0	-0.2	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
1	65	-0.8	-1.0	-0.3	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	47	-0.8	-1.0	1.0	-0.8	-0.6	0.20000000000000007	-3.999999999999999	3.999999999999999
2	49	-0.8	-1.0	0.7857142857142857	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	52	-0.8	-1.0	0.7857142857142857	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	53	-0.8	-1.0	0.7857142857142857	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	59	-0.8	-1.0	1.0	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	61	-0.8	-1.0	-0.2666666666666666	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	63	-0.8	-1.0	-0.2	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
2	65	-0.8	-1.0	-0.4	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	49	-0.8	-1.0	0.4285714285714285	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	52	-0.8	-1.0	0.4285714285714285	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	53	-0.8	-1.0	0.4285714285714285	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	59	-0.8	-1.0	-0.2	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	61	-0.8	-1.0	1.0	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
6	63	-0.8	-1.0	-0.2	-0.9	-0.7	0.20000000000000007	-3.999999999999999	3.999999999999999
